id,Index,Field,SampleDate,SOM,geometry,x,y,total_clay,BSI,CEC,EVI,mrvbf,NDVI,SAVI,slope,SBI,tpi,tri,twi
1,0,003,8/23/2021,3.6,POINT (500217.349936951 4480079.35632279),500217.3499,4480079.356,1.89667213,0.168963134,0.905143559,2.809364557,-0.008623264,0.662676811,0.993947625,0.015322272,1975.333374,-0.031154219,0.015824594,10.9411602
2,1,003,8/23/2021,5.7,POINT (500116.802933811 4480079.45120668),500116.8029,4480079.451,1.829830527,0.193395361,0.933743954,2.832259655,-0.007685628,0.657617748,0.986358285,0.011346595,1947.666626,-0.29962942,0.012732411,11.07096481
3,4,004,8/23/2021,4.2,POINT (500350.927780321 4480116.07680216),500350.9278,4480116.077,4.585494041,0.183093086,0.893354297,2.528097153,-0.002968987,0.610738277,0.9160375,0.014262849,1912.333374,-0.41952607,0.014135415,9.334256172
4,5,004,8/23/2021,2.2,POINT (500350.83285518 4480015.52976721),500350.8329,4480015.53,3.960005283,0.163418904,0.865808725,2.734164953,0.017711183,0.641791046,0.962617517,0.013866314,2048.333252,0.652372479,0.01399208,9.518354416
5,6,004,8/23/2021,2,POINT (500350.737927269 4479914.98274806),500350.7379,4479914.983,4.330256939,0.14850761,0.851170063,2.757416964,0.005076964,0.639306366,0.958890259,0.007546776,2087.333252,0.071327493,0.008771397,9.920286179
6,10,005,9/7/2022,1.8,POINT (500331.828985262 4479865.49629571),500331.829,4479865.496,4.067363739,0.143215418,0.8544994,2.608868837,0.001038377,0.603686631,0.905460417,0.007467436,2356,0.220807582,0.009938076,9.990204811
7,11,005,9/7/2022,1.9,POINT (500331.734028515 4479764.94930042),500331.734,4479764.949,1.945412397,0.137054786,0.838566661,2.781057119,-0.002197796,0.606223822,0.909267724,0.011758668,2244,-0.042804446,0.013607075,10.03242397
8,12,006,8/23/2021,2.4,POINT (500690.441793366 4479726.70295205),500690.4418,4479726.703,0.502206087,0.138835579,0.825011492,2.893247843,-0.007531595,0.650183678,0.975206614,0.016905943,2036.333374,-0.30558309,0.016911784,9.927939415
9,13,006,8/23/2021,1.7,POINT (500593.472091052 4479753.28476729),500593.4721,4479753.285,5.404582977,0.129351974,0.817135811,2.850690126,0.000199649,0.646924853,0.970318198,0.012950953,2106.333252,0.098075084,0.013065534,9.977404594
10,14,006,8/23/2021,2.7,POINT (500496.502391762 4479779.86654227),500496.5024,4479779.867,3.402090549,0.135646209,0.824444175,2.868888855,-0.011620071,0.601490915,0.902166307,0.016811505,2055.333252,-0.466751665,0.016971322,10.47503281
11,18,009,9/7/2022,2.4,POINT (500540.408134929 4480031.79840906),500540.4081,4480031.798,5.062479496,0.187864482,0.890790462,1.399965405,0.008252283,0.312043101,0.468019634,0.008264183,1956.333374,0.020154145,0.009635621,10.31326389
12,19,009,9/7/2022,3.2,POINT (500452.387880703 4480021.64345406),500452.3879,4480021.643,2.934578657,0.171049923,0.89261651,1.64083457,-0.005679518,0.363726467,0.545544624,0.007862551,2126.666748,-0.104114331,0.008636013,10.22932911
13,20,009,9/7/2022,2.2,POINT (500540.408134929 4480031.79840906),500540.4081,4480031.798,5.062479496,0.187864482,0.890790462,1.399965405,0.008252283,0.312043101,0.468019634,0.008264183,1956.333374,0.020154145,0.009635621,10.31326389
14,21,009,9/7/2022,0,POINT (500541.2073667 4479993.14378163),500541.2074,4479993.144,4.935682774,0.109232686,0.838545263,1.08346355,0.001787966,0.283503652,0.425224423,0.005494198,2318.333252,-0.086723953,0.006397125,10.18694305
15,22,010,8/23/2021,3.6,POINT (500538.45138598 4480093.28732076),500538.4514,4480093.287,2.675778627,0.205573246,0.935274541,2.975444317,-0.000568379,0.575737178,0.86353296,0.002427371,1807,-0.023191251,0.003559362,11.14516163
16,23,010,9/7/2022,3.7,POINT (500540.4475432 4480094.15453687),500540.4475,4480094.155,3.190501213,0.200622886,0.934060216,2.72627449,0.00044093,0.5751158,0.862602353,0.00207634,1840,-0.00065089,0.002992376,11.32514095
17,24,010,9/7/2022,2.5,POINT (500451.698417183 4480094.65226597),500451.6984,4480094.652,2.886078596,0.154054075,0.896850228,2.749795914,-0.006004705,0.612864077,0.919226408,0.009105021,2158.666748,-0.036239732,0.009936436,10.13839531
18,26,013,9/7/2022,2.6,POINT (501229.758631881 4479872.32720864),501229.7586,4479872.327,1.672694445,0.160987213,0.805461526,1.89902091,-0.005169015,0.439539999,0.659254253,0.020156384,2130.666748,-0.152079448,0.020172764,9.66392231
19,27,013,9/7/2022,2.3,POINT (501229.663693913 4479771.78029774),501229.6637,4479771.78,2.31367445,0.142392725,0.791724503,1.823810935,-0.001670528,0.426877469,0.640263498,0.011489214,2195.666748,-0.102125615,0.011884457,10.88885975
